state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served
ak,2026-07-04,2.6487311549439205,2.6487311549439205,0.17792506095840524,15,6,0.06666666666666667,"22,00022,00023,00023,00092,00012,00092,00012,00023,00092,000220,000220,00023,0006,50092,000"
ak,2026-07-11,2.5731319763537424,2.3979400086720375,0.1864362557803239,15,6,0.13333333333333333,"22,000220,00023,00023,00092,00023,00092,0006,50012,00022,00092,00023,000220,00092,00012,000"
ak,2026-07-18,2.3979400086720375,2.3979400086720375,0.0,15,6,0.06666666666666667,"220,000220,00023,00092,00092,00012,0006,50092,00023,00092,00022,00023,00012,00023,00022,000"
ak,2026-07-25,,,0.0,15,6,0.0,"92,00022,00023,00022,00023,00023,00092,00092,00012,000220,000220,0006,50092,00012,00023,000"
ak,2026-08-01,,,0.0,2,2,0.0,"92,00023,000"
al,2022-08-06,,,0.0,4,2,0.0,"19,00011,00019,00011,000"
al,2022-08-13,,,0.0,4,2,0.0,"11,00011,00019,00019,000"
al,2022-08-20,,,0.0,4,2,0.0,"11,00019,00019,00011,000"
al,2022-08-27,,,0.0,6,3,0.0,"72,00019,00072,00011,00011,00019,000"
al,2022-09-03,,,0.0,6,3,0.0,"72,00011,00019,00011,00019,00072,000"
al,2022-09-10,,,0.0,6,3,0.0,"72,00019,00019,00011,00011,00072,000"
al,2022-09-17,,,0.0,6,3,0.0,"19,00072,00011,00019,00011,00072,000"
al,2022-10-01,,,0.0,6,3,0.0,"72,00072,00019,00019,00011,00011,000"
al,2022-10-08,,,0.0,6,3,0.0,"19,00011,00011,00072,00072,00019,000"
al,2022-10-15,,,0.0,6,3,0.0,"11,00011,00072,00019,00072,00019,000"
al,2022-10-22,,,0.0,6,3,0.0,"11,00072,00019,00072,00011,00019,000"
al,2022-10-29,,,0.0,5,3,0.0,"72,00019,00011,00019,00072,000"
al,2022-11-05,,,0.0,6,3,0.0,"72,00019,00011,00019,00072,00011,000"
al,2022-11-12,,,0.0,6,3,0.0,"72,00072,00011,00019,00011,00019,000"
al,2022-11-19,,,0.0,6,3,0.0,"19,00072,00011,00011,00072,00019,000"
al,2022-11-26,,,0.0,3,3,0.0,"11,00072,00019,000"
al,2022-12-03,,,0.0,6,3,0.0,"19,00072,00011,00011,00072,00019,000"
al,2022-12-10,,,0.0,6,3,0.0,"11,00072,00072,00019,00011,00019,000"
al,2022-12-17,,,0.0,8,4,0.0,"9,00011,00019,00011,00072,00072,0009,00019,000"
al,2022-12-24,,,0.0,4,4,0.0,"72,00019,0009,00011,000"
al,2022-12-31,,,0.0,4,3,0.0,"9,00072,0009,00019,000"
al,2023-01-07,,,0.0,8,4,0.0,"19,00011,00072,00019,0009,00072,00011,0009,000"
al,2023-01-14,,,0.0,7,4,0.0,"9,00011,00072,0009,00019,00072,00019,000"
al,2023-01-21,,,0.0,5,4,0.0,"72,00019,00019,00011,0009,000"
al,2023-01-28,,,0.0,7,4,0.0,"72,00011,00011,0009,0009,00019,00019,000"
al,2023-02-04,2.3979400086720375,2.3979400086720375,0.0,7,4,0.14285714285714285,"9,0009,00019,00011,00011,00072,00019,000"
al,2023-02-11,,,0.0,8,4,0.0,"72,00011,0009,00019,0009,00019,00011,00072,000"
al,2023-02-18,,,0.0,7,4,0.0,"9,00019,00019,0009,00011,00072,00011,000"
al,2023-02-25,,,0.0,8,4,0.0,"72,00019,00011,00072,00019,0009,0009,00011,000"
al,2023-03-04,,,0.0,8,4,0.0,"19,00011,0009,00011,00072,0009,00019,00072,000"
al,2023-03-11,,,0.0,8,4,0.0,"19,00072,00011,00072,0009,00011,0009,00019,000"
al,2023-03-18,,,0.0,7,4,0.0,"11,00019,0009,00072,00072,0009,00019,000"
al,2023-03-25,,,0.0,8,4,0.0,"19,00019,0009,00011,00072,00072,0009,00011,000"
al,2023-04-01,,,0.0,7,4,0.0,"72,0009,00019,00072,00019,0009,00011,000"
al,2023-04-08,,,0.0,7,4,0.0,"9,00072,00019,00011,00072,00019,00011,000"
al,2023-04-15,,,0.0,8,4,0.0,"19,00072,00072,0009,00011,0009,00011,00019,000"
al,2023-04-22,,,0.0,8,4,0.0,"9,00072,00072,00019,00019,00011,0009,00011,000"
al,2023-04-29,,,0.0,8,4,0.0,"11,0009,00019,00072,0009,00011,00072,00019,000"
al,2023-05-06,,,0.0,7,4,0.0,"19,00011,00019,00011,0009,00072,00072,000"
al,2023-05-13,,,0.0,8,4,0.0,"11,00019,00019,0009,00011,00072,00072,0009,000"
al,2023-05-20,,,0.0,8,4,0.0,"9,00019,00011,00072,00011,00072,0009,00019,000"
al,2023-05-27,,,0.0,8,4,0.0,"19,00011,00019,0009,0009,00011,00072,00072,000"
al,2023-06-03,,,0.0,8,4,0.0,"19,00019,00011,0009,0009,00011,00072,00072,000"
al,2023-06-10,2.3979400086720375,2.3979400086720375,0.0,8,4,0.25,"19,00011,00072,00019,00072,00011,0009,0009,000"
al,2023-06-17,2.3979400086720375,2.3979400086720375,0.0,8,4,0.25,"19,00072,0009,00011,00019,00011,0009,00072,000"
al,2023-06-24,,,0.0,8,4,0.0,"9,00019,00019,0009,00011,00011,00072,00072,000"
al,2023-07-01,,,0.0,8,4,0.0,"19,00019,00011,0009,0009,00072,00072,00011,000"
al,2023-07-08,,,0.0,7,4,0.0,"11,0009,00019,00072,00019,0009,00011,000"
al,2023-07-15,2.3979400086720375,2.3979400086720375,0.0,8,4,0.125,"11,00019,00072,0009,00011,0009,00019,00072,000"
al,2023-07-22,,,0.0,6,3,0.0,"11,00019,00011,00019,00072,00072,000"
al,2023-07-29,,,0.0,6,3,0.0,"19,00011,00019,00072,00072,00011,000"
al,2023-08-05,,,0.0,6,4,0.0,"72,0009,00019,00019,00011,00011,000"
al,2023-08-12,,,0.0,6,4,0.0,"11,00019,0009,00072,0009,00019,000"
al,2023-08-19,,,0.0,7,4,0.0,"11,00019,0009,00072,00011,0009,00019,000"
al,2023-08-26,,,0.0,7,4,0.0,"72,00011,00019,00019,0009,00011,00072,000"
al,2023-09-02,,,0.0,5,3,0.0,"19,00011,00019,00011,00072,000"
al,2023-09-09,,,0.0,8,4,0.0,"9,00072,00072,0009,00019,00011,00011,00019,000"
al,2023-09-16,,,0.0,7,4,0.0,"72,00011,00072,00019,0009,0009,00019,000"
