state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served
wa,2022-04-30,6.537398036845789,6.46529632444236,-0.010669197345981776,18,7,0.0,1747377
wa,2022-05-07,6.549071491852971,6.534685024213838,0.24240045781508976,24,10,0.0,2726298
wa,2022-05-14,6.624537254953309,6.606539709800964,0.3709592595939409,25,11,0.0,2761848
wa,2022-05-21,6.771523203818136,6.805038470684743,0.6101780410176855,27,11,0.0,2857007
wa,2022-05-28,6.802818524904669,6.793861772418442,0.7677525628810264,35,15,0.0,6889007
wa,2022-06-04,6.742851306991159,6.725040448543964,0.6891968076538714,29,15,0.034482758620689655,5937218
wa,2022-06-11,6.76634641306877,6.820000717155499,0.6820596118063614,36,17,0.0,6741067
wa,2022-06-18,6.711859914770578,6.580853708948872,0.624782979627731,40,18,0.0,6998557
wa,2022-06-25,6.852571519000783,6.768312705444689,0.9020498562098496,39,19,0.0,6785332
wa,2022-07-02,6.842938820248489,6.807703491111679,0.9047135750866798,42,19,0.0,7032457
wa,2022-07-09,6.9383749503811964,6.990230342847936,1.0602757141446195,41,21,0.0,7327433
wa,2022-07-16,6.885241467780506,6.8905125223048564,0.9408474650393519,47,22,0.0,7621167
wa,2022-07-23,6.845076912338659,6.831191705145004,0.8728294310834658,47,22,0.0,7501508
wa,2022-07-30,6.793276022404915,6.946201730445136,0.7393375364469239,47,22,0.0,7518117
wa,2022-08-06,6.718189237302821,6.503879728602868,0.6270438602336451,50,22,0.0,7906117
wa,2022-08-13,6.6883981468324265,6.758163989526294,0.5576597068507598,48,22,0.0,7672642
wa,2022-08-20,6.659182815830782,6.623839924601333,0.4964723050346415,47,21,0.0,7441117
wa,2022-08-27,6.559812017825991,6.577216309990347,0.3180834444799397,46,22,0.0,7565958
wa,2022-09-03,6.440164499475887,6.34247097643472,0.14947726562904906,47,22,0.02127659574468085,7538102
wa,2022-09-10,6.532004063103233,6.586393288096114,0.35238901763618236,41,22,0.0,7018627
wa,2022-09-17,6.6004553948535225,6.706549863855155,0.42910397349370744,48,22,0.0,7573914
wa,2022-09-24,6.885022678779042,6.910508860521572,0.7277029631520577,27,12,0.0,3179384
wa,2022-10-01,6.642850013260764,6.69399544214314,0.49881836457005896,44,21,0.0,6631014
wa,2022-10-08,6.383809408934929,6.4660326840492175,0.00974867560111472,48,22,0.0,7573914
wa,2022-10-15,6.262819512789215,6.2703153297580965,-0.1212310147353428,50,23,0.0,7639914
wa,2022-10-22,6.241266194383047,6.143489664111119,-0.1814584197321395,48,23,0.0,7531102
wa,2022-10-29,6.311485063004409,6.245497907799029,-0.045847156271696644,48,23,0.0,7614489
wa,2022-11-05,6.343502601535603,6.393489907848776,0.04648846316147384,50,24,0.0,7827933
wa,2022-11-12,6.382920685630833,6.45685461601343,0.1693157305565422,47,24,0.0,7293728
wa,2022-11-19,6.614240140489503,6.579272052345443,0.5320719755055255,51,24,0.0,7865583
wa,2022-11-26,6.251265922395929,6.280834163735391,0.0811173831478274,10,10,0.0,2571765
wa,2022-12-03,6.725379986770795,6.735704620557398,0.755159488707695,51,24,0.0,7865583
