state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served,admits,coverage,regime,admits_per100k,admits_next_week,admits_this_week,y_reg_next_admits,pct_change_next,y_surge_next_week,next_week_end,log10_conc_lag1,log10_conc_lag2,log10_conc_lag3,conc_delta_1w,conc_roll3,split_era
ny,2022-09-24,4.077286751093074,4.190331698170292,0.0978932261118172,135,104,0.2148148148148148,8618943,2157.0,0.9657,mandatory_pre,25.026270622743414,2313.0,2157.0,2313.0,0.07232267037552156,0,2022-10-01,4.903865395878867,4.515855363749161,4.826213719477521,-0.8265786447857932,4.4990025035737,train
ny,2022-10-01,4.667528379998563,4.639486489268586,0.402811193789739,165,119,0.0848484848484848,23109939,2313.0,0.9657,mandatory_pre,10.008680680637019,2453.0,2313.0,2453.0,0.06052745352356247,0,2022-10-08,4.077286751093074,4.903865395878867,4.515855363749161,0.5902416289054893,4.549560175656835,train
ny,2022-10-08,4.591835195775385,4.657055852857104,0.2701172240388538,163,118,0.1349693251533742,23123373,2453.0,0.9657,mandatory_pre,10.60831393413063,2586.0,2453.0,2586.0,0.05421932327761924,0,2022-10-15,4.667528379998563,4.077286751093074,4.903865395878867,-0.07569318422317828,4.445550108955675,train
ny,2022-10-15,4.999407305094623,4.983626287124535,0.7222907798897891,159,117,0.050314465408805,22422248,2586.0,0.9657,mandatory_pre,11.533187930130824,2593.0,2586.0,2593.0,0.0027068832173240526,0,2022-10-22,4.591835195775385,4.667528379998563,4.077286751093074,0.40757210931923815,4.75292362695619,train
ny,2022-10-22,4.400974520645125,4.391693577036909,0.1116187953270548,161,118,0.1801242236024844,23056492,2593.0,0.9657,mandatory_pre,11.246290198873272,2618.0,2593.0,2618.0,0.009641342074816815,0,2022-10-29,4.999407305094623,4.591835195775385,4.667528379998563,-0.5984327844494981,4.664072340505044,train
ny,2022-10-29,4.7078952245178955,4.705863712283919,0.420973022389018,161,117,0.0993788819875776,23080368,2618.0,0.9657,mandatory_pre,11.342973387599365,2538.0,2618.0,2538.0,-0.030557677616501147,0,2022-11-05,4.400974520645125,4.999407305094623,4.591835195775385,0.3069207038727706,4.702759016752547,train
ny,2022-11-05,4.6388388690312485,4.548996330725503,0.3708771650704421,162,119,0.1111111111111111,22914811,2538.0,0.9657,mandatory_pre,11.075805949261374,2439.0,2538.0,2439.0,-0.03900709219858156,0,2022-11-12,4.7078952245178955,4.400974520645125,4.999407305094623,-0.06905635548664701,4.582569538064756,train
ny,2022-11-12,4.442820059324038,4.453318340047038,0.1907971789771075,147,114,0.2244897959183673,19477434,2439.0,0.9657,mandatory_pre,12.522183363578591,2392.0,2439.0,2392.0,-0.01927019270192702,0,2022-11-19,4.6388388690312485,4.7078952245178955,4.400974520645125,-0.1960188097072102,4.5965180509577275,train
ny,2022-11-19,4.463329582865369,4.503788549152169,0.2005304188879142,156,112,0.2051282051282051,22942152,2392.0,0.9657,mandatory_pre,10.426223311570773,2463.0,2392.0,2463.0,0.02968227424749164,0,2022-11-26,4.442820059324038,4.6388388690312485,4.7078952245178955,0.020509523541330843,4.514996170406885,train
ny,2022-11-26,4.544715543623447,4.599883072073688,0.4142374718872986,123,107,0.1544715447154471,14385559,2463.0,0.9608,mandatory_pre,17.121336751668807,2989.0,2463.0,2989.0,0.21356069833536337,1,2022-12-03,4.463329582865369,4.442820059324038,4.6388388690312485,0.08138596075807758,4.483621728604285,train
