state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served,admits,coverage,admits_per100k,log10_conc_lag1,log10_conc_lag2,log10_conc_lag3,conc_delta_1w,conc_roll3,split_era,month,epiweek_of_year,regime_mandatory_post,regime_mandatory_pre,season_fall,season_spring,season_summer,season_winter,region_midwest,region_northeast,region_south,region_territory,region_west
mi,2023-01-07,4.452837807793901,4.7205904515311214,0.562477839204388,51,38,0.0,7355441,1119.0,0.9742,15.21322786764247,4.281887000560282,4.747800427592885,4.949352527665301,0.170950807233619,4.494175078649023,train,1,1,False,True,False,False,False,True,True,False,False,False,False
mi,2023-01-14,4.50438753119475,4.63868488376697,0.4877490111735028,82,57,0.0,8171577,913.0,0.9677,11.1728739752437,4.452837807793901,4.281887000560282,4.747800427592885,0.051549723400849,4.41303744651631,train,1,2,False,True,False,False,False,True,True,False,False,False,False
mi,2023-01-21,4.454772306621998,4.6191588789867835,0.4780108404901121,67,55,0.0,7435592,690.0,0.9613,9.279691516156348,4.50438753119475,4.452837807793901,4.281887000560282,-0.0496152245727516,4.470665881870215,train,1,3,False,True,False,False,False,True,True,False,False,False,False
mi,2023-01-28,4.499789090892277,4.581518844115436,0.3684403604751127,95,63,0.0,9491067,651.0,0.9613,6.859081281377532,4.454772306621998,4.50438753119475,4.452837807793901,0.0450167842702784,4.486316309569674,train,1,4,False,True,False,False,False,True,True,False,False,False,False
mi,2023-02-04,4.529684122460221,4.650361540867598,0.3302414908415975,116,63,0.0,12596734,611.0,0.9677,4.850463620173293,4.499789090892277,4.454772306621998,4.50438753119475,0.0298950315679444,4.494748506658165,train,2,5,False,True,False,False,False,True,True,False,False,False,False
mi,2023-02-11,4.568442365751603,4.660511178162263,0.3807882718569144,116,63,0.0,12149168,641.0,0.9742,5.276081456771361,4.529684122460221,4.499789090892277,4.454772306621998,0.0387582432913822,4.532638526368033,train,2,6,False,True,False,False,False,True,True,False,False,False,False
mi,2023-02-18,4.724735925549128,4.732169911081763,0.5233101652480977,107,60,0.0,6555076,668.0,0.9742,10.190575975015394,4.568442365751603,4.529684122460221,4.499789090892277,0.1562935597975245,4.6076208045869835,train,2,7,False,True,False,False,False,True,True,False,False,False,False
mi,2023-02-25,4.655462828310541,4.75824044190084,0.5354612958111743,97,55,0.0,12050725,698.0,0.9742,5.792182628016157,4.724735925549128,4.568442365751603,4.529684122460221,-0.0692730972385868,4.6495470398704235,train,2,8,False,True,False,False,False,True,True,False,False,False,False
mi,2023-03-04,4.628902095745727,4.785703843656031,0.4585989979610163,110,57,0.0,12581415,730.0,0.9742,5.802209052002498,4.655462828310541,4.724735925549128,4.568442365751603,-0.026560732564814,4.669700283201798,train,3,9,False,True,False,True,False,False,True,False,False,False,False
mi,2023-03-11,4.524768716295102,4.7038835933133285,0.2764806490198038,105,58,0.0,12555915,673.0,0.9806,5.360023542688844,4.628902095745727,4.655462828310541,4.724735925549128,-0.1041333794506247,4.6030445467837895,train,3,10,False,True,False,True,False,False,True,False,False,False,False
mi,2023-03-18,4.550576262130864,4.680599077732866,0.3636836106985798,110,59,0.0,12526320,701.0,0.9742,5.596216606313746,4.524768716295102,4.628902095745727,4.655462828310541,0.0258075458357618,4.568082358057231,train,3,11,False,True,False,True,False,False,True,False,False,False,False
mi,2023-03-25,4.546607913526939,4.724969371115139,0.3655464270869904,105,57,0.0,12314679,744.0,0.9742,6.041570389289076,4.550576262130864,4.524768716295102,4.628902095745727,-0.0039683486039248,4.540650963984302,train,3,12,False,True,False,True,False,False,True,False,False,False,False
mi,2023-04-01,4.501138011654788,4.602351934648929,0.2782371534462611,102,57,0.0,11756369,686.0,0.9742,5.835134980877174,4.546607913526939,4.550576262130864,4.524768716295102,-0.0454699018721509,4.53277406243753,train,4,13,False,True,False,True,False,False,True,False,False,False,False
mi,2023-04-08,4.432811693236619,4.511173571969899,0.1296901808621766,101,55,0.0,12207652,593.0,0.9742,4.857608981645282,4.501138011654788,4.546607913526939,4.550576262130864,-0.068326318418169,4.493519206139449,train,4,14,False,True,False,True,False,False,True,False,False,False,False
mi,2023-04-15,4.291588131835807,4.395794241574898,-0.1333921542069904,107,63,0.0,12011489,510.0,0.9742,4.245934871188743,4.432811693236619,4.501138011654788,4.546607913526939,-0.1412235614008121,4.408512612242404,train,4,15,False,True,False,True,False,False,True,False,False,False,False
mi,2023-04-22,4.260246491066678,4.321871580807501,-0.2263233418321136,107,59,0.0,12561140,467.0,0.9806,3.717815421211769,4.291588131835807,4.432811693236619,4.501138011654788,-0.0313416407691287,4.328215438713035,train,4,16,False,True,False,True,False,False,True,False,False,False,False
mi,2023-04-29,4.252191898234487,4.31805365781409,-0.2141861766466574,112,62,0.0,12418050,365.0,0.9806,2.9392698531572994,4.260246491066678,4.291588131835807,4.432811693236619,-0.0080545928321917,4.2680088403789895,train,4,17,False,True,False,True,False,False,True,False,False,False,False
mi,2023-05-06,4.1863359068871215,4.2258011215812035,-0.3372094262021202,117,65,0.0,12446350,344.0,0.9806,2.7638624978407327,4.252191898234487,4.260246491066678,4.291588131835807,-0.065855991347365,4.2329247653960955,train,5,18,False,True,False,True,False,False,True,False,False,False,False
mi,2023-05-13,4.2798075252649275,4.294676762423004,-0.1353322050464626,112,61,0.0,12343193,606.0,0.9806,4.909588629133483,4.1863359068871215,4.252191898234487,4.260246491066678,0.0934716183778059,4.239445110128845,train,5,19,False,True,False,True,False,False,True,False,False,False,False
mi,2023-05-20,4.201328466628701,4.225309281725863,-0.3150295949078765,101,60,0.0,12226519,263.0,0.9806,2.1510619662064077,4.2798075252649275,4.1863359068871215,4.252191898234487,-0.0784790586362262,4.222490632926917,train,5,20,False,True,False,True,False,False,True,False,False,False,False
mi,2023-05-27,4.158184890769408,4.223483036539539,-0.4230840207451269,113,63,0.0,12677749,230.0,0.9806,1.814202189994454,4.201328466628701,4.2798075252649275,4.1863359068871215,-0.0431435758592932,4.213106960887678,train,5,21,False,True,False,True,False,False,True,False,False,False,False
mi,2023-06-03,4.091225876914876,4.1019731152092715,-0.5141428671583371,101,59,0.0,11986422,216.0,0.9806,1.802039007136575,4.158184890769408,4.201328466628701,4.2798075252649275,-0.0669590138545315,4.150246411437661,train,6,22,False,True,False,False,True,False,True,False,False,False,False
mi,2023-06-10,4.081077135419157,4.027228282306378,-0.5629026842378394,110,60,0.0,12348307,166.0,0.9742,1.3443138399458323,4.091225876914876,4.158184890769408,4.201328466628701,-0.010148741495719,4.110162634367813,train,6,23,False,True,False,False,True,False,True,False,False,False,False
mi,2023-06-17,4.057940852080077,4.0281486644653075,-0.6256213131922496,117,65,0.0,12752899,173.0,0.9806,1.356554301888535,4.081077135419157,4.091225876914876,4.158184890769408,-0.0231362833390802,4.076747954804703,train,6,24,False,True,False,False,True,False,True,False,False,False,False
mi,2023-06-24,3.986425935932984,3.978940845066085,-0.7335213080077219,112,68,0.0,12326299,170.0,0.9806,1.379164986992446,4.057940852080077,4.081077135419157,4.091225876914876,-0.0715149161470929,4.0418146411440725,train,6,25,False,True,False,False,True,False,True,False,False,False,False
mi,2023-07-01,4.008490967201753,4.020796355653225,-0.7235182034727974,100,52,0.0,12494764,156.0,0.9806,1.2485229813064096,3.986425935932984,4.057940852080077,4.081077135419157,0.0220650312687684,4.017619251738271,train,7,26,False,True,False,False,True,False,True,False,False,False,False
mi,2023-07-08,4.067282129200002,4.063208435341045,-0.7074425636418551,93,52,0.0,9100158,121.0,0.9806,1.3296472434874207,4.008490967201753,3.986425935932984,4.057940852080077,0.0587911619982497,4.020733010778246,train,7,27,False,True,False,False,True,False,True,False,False,False,False
mi,2023-07-15,3.991700673527856,3.984030847783389,-0.708897579128374,106,56,0.0,12205997,104.0,0.9806,0.8520401897526273,4.067282129200002,4.008490967201753,3.986425935932984,-0.0755814556721463,4.022491256643203,train,7,28,False,True,False,False,True,False,True,False,False,False,False
mi,2023-07-22,4.012065468413825,4.070407321740119,-0.6336568581286768,97,52,0.0,11705793,97.0,0.9806,0.828649541299765,3.991700673527856,4.067282129200002,4.008490967201753,0.0203647948859688,4.023682757047227,train,7,29,False,True,False,False,True,False,True,False,False,False,False
mi,2023-07-29,4.06235032910541,4.129902023522088,-0.5920981243178646,107,55,0.0,12335842,104.0,0.9806,0.8430717578905437,4.012065468413825,3.991700673527856,4.067282129200002,0.0502848606915851,4.0220388236823625,train,7,30,False,True,False,False,True,False,True,False,False,False,False
mi,2023-08-05,4.179339506523432,4.257186602447373,-0.3185704205163031,104,56,0.0,11569942,128.0,0.9806,1.1063149668338872,4.06235032910541,4.012065468413825,3.991700673527856,0.1169891774180218,4.084585101347555,train,8,31,False,True,False,False,True,False,True,False,False,False,False
mi,2023-08-12,4.29651060208199,4.430866851862625,-0.0901305281957779,109,59,0.0,11286242,200.0,0.9806,1.772069037683225,4.179339506523432,4.06235032910541,4.012065468413825,0.1171710955585583,4.17940014590361,train,8,32,False,True,False,False,True,False,True,False,False,False,False
mi,2023-08-19,4.274979766179376,4.341599592378712,-0.0923227142414398,91,53,0.0,9892402,273.0,0.9806,2.7596937528418275,4.29651060208199,4.179339506523432,4.06235032910541,-0.021530835902614,4.250276624928265,train,8,33,False,True,False,False,True,False,True,False,False,False,False
mi,2023-08-26,4.3786563594527275,4.4673989211864775,0.0744489891505075,109,57,0.0,12030388,324.0,0.9806,2.6931799705878148,4.274979766179376,4.29651060208199,4.179339506523432,0.1036765932733514,4.316715575904698,train,8,34,False,True,False,False,True,False,True,False,False,False,False
mi,2023-09-02,4.4050565264124355,4.47775755699578,0.1066456490502308,106,58,0.0,12194824,352.0,0.9806,2.8864705222478,4.3786563594527275,4.274979766179376,4.29651060208199,0.026400166959708,4.352897550681512,train,9,35,False,True,True,False,False,False,True,False,False,False,False
mi,2023-09-09,4.590767513457543,4.744817860798452,0.5138569863547992,94,56,0.0,11631648,423.0,0.9677,3.636629994305192,4.4050565264124355,4.3786563594527275,4.274979766179376,0.1857109870451072,4.458160133107568,train,9,36,False,True,True,False,False,False,True,False,False,False,False
mi,2023-09-16,4.455654534108862,4.532463399242231,0.2044208580496429,95,53,0.0,11679042,486.0,0.9806,4.161300216233489,4.590767513457543,4.4050565264124355,4.3786563594527275,-0.1351129793486807,4.48382619132628,train,9,37,False,True,True,False,False,False,True,False,False,False,False
mi,2023-09-23,4.514239722446967,4.668252345006482,0.3301951428204884,105,56,0.0,11957842,569.0,0.9806,4.758383661533578,4.455654534108862,4.590767513457543,4.4050565264124355,0.058585188338105,4.520220590004457,train,9,38,False,True,True,False,False,False,True,False,False,False,False
mi,2023-09-30,4.540811757104111,4.685553799087119,0.4627801746293649,92,55,0.0,10405243,569.0,0.9806,5.4683970379163656,4.514239722446967,4.455654534108862,4.590767513457543,0.0265720346571436,4.50356867121998,train,9,39,False,True,True,False,False,False,True,False,False,False,False
